Número Proveedor,Nombre Proveedor,tipo,Contacto,Cargo,Correo Electrónico,Teléfono,Observaciones,Razón Social,Tipo de Contribuyente,CUIT,Fecha,baja,activo,Frecuencia,f_donacion,Importe,Nro_Cuenta,Ciudad,Pais,Categor/a Proveedor,fecha_a,fecha_b,detalle_ing,tipoCta,importeResultados
D00094,Rodrigo Medina,,Contacto PPPP,Asistente,Rodrigo Medina@example.com,(011) 5000-0094,Observación 94,-,Responsable Inscripto,23-45678990-3,2/04/2024,,SI,Mensual,2/4/2024,84706,403101,,,,2/4/2024,,Donaciones Personales no recurrentes,Ingresos,84706
D00095,Margarita Jiménez,Individuo,Contacto QQQQ,Secretario,Margarita Jiménez@example,(011) 5000-0095,Observación 95,-,Monotributista,24-56789001-4,22/02/2024,01/04/2024,NO,Bimestral,22/2/2024,195855,403101,,,,22/2/2024,1/4/2024,Donaciones Personales no recurrentes,Ingresos,195855
D00096,Emilio Soto,Individuo,Contacto RRRR,Analista,Emilio Soto@example.com,(011) 5000-0096,Observación 96,-,Exento,25-67890122-5,15/04/2024,,SI,Anual,15/4/2024,114424,403101,,,,15/4/2024,,Donaciones Personales no recurrentes,Ingresos,114424
D00096,Emilio Soto,Individuo,Contacto RRRR,Analista,Emilio Soto@example.com,(011) 5000-0096,Observación 96,-,Exento,25-67890122-5,15/04/2024,,SI,Anual,15/4/2024,110881,403101,,,,15/4/2024,,Donaciones Personales no recurrentes,Ingresos,110881
D00096,Emilio Soto,Individuo,Contacto RRRR,Analista,Emilio Soto@example.com,(011) 5000-0096,Observación 96,-,Exento,25-67890122-5,15/04/2024,,SI,Anual,15/4/2024,57867,403101,,,,15/4/2024,,Donaciones Personales no recurrentes,Ingresos,57867
D00097,Rocío Cabrera,Individuo,Contacto SSSS,Director,Rocío Cabrera@example.com,(011) 5000-0097,Observación 97,-,Responsable Inscripto,26-78901233-6,28/05/2024,,SI,Mensual,28/5/2024,139723,402102,,,,28/5/2024,,Donaciones Personales mensuales,Ingresos,139723
D00098,Pablo Fernández,Individuo,Contacto TTTT,Gerente,Pablo Fernández@example.com,(011) 5000-0098,Observación 98,-,Monotributista,27-89012344-7,5/05/2024,,SI,Bimestral,5/5/2024,133131,403101,,,,5/5/2024,,Donaciones Personales no recurrentes,Ingresos,133131
D00099,Belén Gómez,Individuo,Contacto UUUU,Coordinador,Belén Gómez@example.com,(011) 5000-0099,Observación 99,-,Exento,28-90123455-8,25/01/2024,01/04/2024,NO,Anual,25/1/2024,162961,403101,,,,25/1/2024,1/4/2024,Donaciones Personales no recurrentes,Ingresos,162961
D00100,Roberto Morales,Individuo,Contacto VVVV,Asistente,Roberto Morales@example.com,(011) 5000-0100,Observación 100,-,Responsable Inscripto,29-01234576-9,26/02/2024,01/04/2024,NO,Mensual,26/2/2024,156325,402102,,,,26/2/2024,1/4/2024,Donaciones Personales mensuales,Ingresos,156325
D00101,Donaciones Co.,Empresa,Contacto VVVV,-,Donaciones Co.@example.com,(011) 5000-0101,Observación 101,SRL,Responsable Inscripto,29-01234576-10,31/05/2024,,si,Anual,31/5/2024,120000,409021,,,,31/5/2024,,Donaciones en Especies,Ingresos,120000
D00102,Ayuda Empresarial S.A.,Empresa,Contacto VVVV,-,Ayuda Empresarial S.A.@example.com,(011) 5000-0102,Observación 102,SA,Responsable Inscripto,29-01234576-11,1/06/2024,,si,Anual,1/6/2024,150000,409021,,,,1/6/2024,,Donaciones en Especies,Ingresos,150000
D00103,Donativos y Más S.R.L.,Empresa,Contacto VVVV,-,Donativos y Más S.R.L.@example.com,(011) 5000-0103,Observación 103,SRL,Responsable Inscripto,29-01234576-12,2/06/2024,,si,Bimestral,2/6/2024,200000,409021,,,,2/6/2024,,Donaciones en Especies,Ingresos,200000
D00104,Apoyo Corporativo S.A.,Empresa,Contacto VVVV,-,Apoyo Corporativo S.A.@example.com,(011) 5000-0104,Observación 104,SA,Responsable Inscripto,29-01234576-13,3/06/2024,,si,Bimestral,3/6/2024,180000,409021,,,,3/6/2024,,Donaciones en Especies,Ingresos,180000
D00105,Fundación Empresarial,Empresa,Contacto VVVV,-,Fundación Empresarial@example.com,(011) 5000-0105,,SA,Responsable Inscripto,29-01234576-14,4/06/2024,,si,Bimestral,4/6/2024,220000,409021,,,,4/6/2024,,Donaciones en Especies,Ingresos,220000
D00106,Ministerio Desarrollo Social,Estado,,-,ministeriods@example.gob,(011) 652389745,Observación 106,GOB,Exento,30-0000000-25,1/01/2024,,SI,Mensual,1/1/2024,650000,404100,,,,1/1/2024,,Ingresos Estado,Ingresos,650000
D00107,Campaña un Sol para todos,Campaña,Contacto VVVV,-,solparatodos@example.gov,(011) 652389746,Observación 107,SA,Exento,30-0000000-85,2/02/2024,,SI,Anual,2/2/2024,780000,403101,,,,2/2/2024,,Donaciones Personales no recurrentes,Ingresos,780000
D00108,Iniciativa Solidaria,Empresa,Contacto C,-,iniciativasolidaria@mail.com,(+)55 5747-7433,Observación D,SAS,Monotributista,24-91224120-6,4/10/2022,20/08/2024,NO,Bimestral,4/10/2022,281342,404100,Buenos Aires,Argentina,SERVIC/OS,4/10/2022,20/8/2024,Ingresos Estado,Ingresos,281342
D00108,Iniciativa Solidaria,Empresa,Contacto C,-,iniciativasolidaria@mail.com,(+)55 5747-7433,Observación D,SAS,Monotributista,24-91224120-6,4/10/2022,20/08/2024,NO,Bimestral,4/12/2022,383818,404100,Cordoba,Argentina,SERVIC/OS,4/10/2022,20/8/2024,Ingresos Estado,Ingresos,383818
D00108,Iniciativa Solidaria,Empresa,Contacto C,-,iniciativasolidaria@mail.com,(+)55 5747-7433,Observación D,SAS,Monotributista,24-91224120-6,4/10/2022,20/08/2024,NO,Bimestral,4/2/2023,217763,404100,Rosario,Argentina,MATER/IALES,4/10/2022,20/8/2024,Ingresos Estado,Ingresos,217763
D00108,Iniciativa Solidaria,Empresa,Contacto C,-,iniciativasolidaria@mail.com,(+)55 5747-7433,Observación D,SAS,Monotributista,24-91224120-6,4/10/2022,20/08/2024,NO,Bimestral,4/4/2023,424093,404100,Mendoza,Argentina,AGENTE /MPOSITIVO,4/10/2022,20/8/2024,Ingresos Estado,Ingresos,424093
D00108,Iniciativa Solidaria,Empresa,Contacto C,-,iniciativasolidaria@mail.com,(+)55 5747-7433,Observación D,SAS,Monotributista,24-91224120-6,4/10/2022,20/08/2024,NO,Bimestral,4/6/2023,191399,404100,Buenos Aires,Argentina,SERVIC/OS,4/10/2022,20/8/2024,Ingresos Estado,Ingresos,191399
D00108,Iniciativa Solidaria,Empresa,Contacto C,-,iniciativasolidaria@mail.com,(+)55 5747-7433,Observación D,SAS,Monotributista,24-91224120-6,4/10/2022,20/08/2024,NO,Bimestral,4/8/2023,390950,404100,Buenos Aires,Argentina,SERVIC/OS,4/10/2022,20/8/2024,Ingresos Estado,Ingresos,390950
D00108,Iniciativa Solidaria,Empresa,Contacto C,-,iniciativasolidaria@mail.com,(+)55 5747-7433,Observación D,SAS,Monotributista,24-91224120-6,4/10/2022,20/08/2024,NO,Bimestral,4/10/2023,797809,404100,San Miguel de Tucumán,Argentina,SERVIC/OS,4/10/2022,20/8/2024,Ingresos Estado,Ingresos,797809
D00108,Iniciativa Solidaria,Empresa,Contacto C,-,iniciativasolidaria@mail.com,(+)55 5747-7433,Observación D,SAS,Monotributista,24-91224120-6,4/10/2022,20/08/2024,NO,Bimestral,4/12/2023,596040,404100,Mar del Plata,Argentina,SERVIC/OS,4/10/2022,20/8/2024,Ingresos Estado,Ingresos,596040
D00108,Iniciativa Solidaria,Empresa,Contacto C,-,iniciativasolidaria@mail.com,(+)55 5747-7433,Observación D,SAS,Monotributista,24-91224120-6,4/10/2022,20/08/2024,NO,Bimestral,4/2/2024,683505,404100,La Plata,Argentina,AGENTE /MPOSITIVO,4/10/2022,20/8/2024,Ingresos Estado,Ingresos,683505
D00108,Iniciativa Solidaria,Empresa,Contacto C,-,iniciativasolidaria@mail.com,(+)55 5747-7433,Observación D,SAS,Monotributista,24-91224120-6,4/10/2022,20/08/2024,NO,Bimestral,4/4/2024,627181,404100,La Plata,Argentina,AGENTE /MPOSITIVO,4/10/2022,20/8/2024,Ingresos Estado,Ingresos,627181
D00108,Iniciativa Solidaria,Empresa,Contacto C,-,iniciativasolidaria@mail.com,(+)55 5747-7433,Observación D,SAS,Monotributista,24-91224120-6,4/10/2022,20/08/2024,NO,Bimestral,4/6/2024,659415,404100,Mendoza,Argentina,MATER/IALES,4/10/2022,20/8/2024,Ingresos Estado,Ingresos,659415
D00108,Iniciativa Solidaria,Empresa,Contacto C,-,iniciativasolidaria@mail.com,(+)55 5747-7433,Observación D,SAS,Monotributista,24-91224120-6,4/10/2022,20/08/2024,NO,Bimestral,4/8/2024,758508,404100,Mendoza,Argentina,MATER/IALES,4/10/2022,20/8/2024,Ingresos Estado,Ingresos,758508
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,Exento,24-56588769-6,9/08/2019,,SI,Bimestral,9/8/2019,183574,404100,Mar del Plata,Argentina,SERVIC/OS,9/8/2019,,Ingresos Estado,Ingresos,183574
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,Exento,24-56588769-6,9/08/2019,,SI,Bimestral,15/10/2019,714947,404100,Mar del Plata,Argentina,SERVIC/OS,9/8/2019,,Ingresos Estado,Ingresos,714947
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,Exento,24-56588769-6,9/08/2019,,SI,Bimestral,20/12/2019,249584,404100,Mar del Plata,Argentina,AGENTE /MPOSITIVO,9/8/2019,,Ingresos Estado,Ingresos,249584
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,Exento,24-56588769-6,9/08/2019,,SI,Bimestral,5/2/2020,730842,404100,Salta,Argentina,SERVIC/OS,9/8/2019,,Ingresos Estado,Ingresos,730842
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,Exento,24-56588769-6,9/08/2019,,SI,Bimestral,12/4/2020,280468,404100,Salta,Argentina,SERVIC/OS,9/8/2019,,Ingresos Estado,Ingresos,280468
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,Exento,24-56588769-6,9/08/2019,,SI,Bimestral,18/6/2020,166865,404100,Santa Fe,Argentina,SERVIC/OS,9/8/2019,,Ingresos Estado,Ingresos,166865
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,Exento,24-56588769-6,9/08/2019,,SI,Bimestral,22/8/2020,655577,404100,Santa Fe,Argentina,SERVIC/OS,9/8/2019,,Ingresos Estado,Ingresos,655577
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,Exento,24-56588769-6,9/08/2019,,SI,Bimestral,10/10/2020,686866,404100,San Juan,Argentina,MATER/IALES,9/8/2019,,Ingresos Estado,Ingresos,686866
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,Exento,24-56588769-6,9/08/2019,,SI,Bimestral,25/12/2020,492556,404100,San Juan,Argentina,MATER/IALES,9/8/2019,,Ingresos Estado,Ingresos,492556
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,Exento,24-56588769-6,9/08/2019,,SI,Bimestral,7/2/2021,470537,404100,Buenos Aires,Argentina,AGENTE /MPOSITIVO,9/8/2019,,Ingresos Estado,Ingresos,470537
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,Exento,24-56588769-6,9/08/2019,,SI,Bimestral,14/4/2021,143318,404100,Buenos Aires,Argentina,AGENTE /MPOSITIVO,9/8/2019,,Ingresos Estado,Ingresos,143318
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,Exento,24-56588769-6,9/08/2019,,SI,Bimestral,19/6/2021,387405,404100,Neuquén,Argentina,SERVIC/OS,9/8/2019,,Ingresos Estado,Ingresos,387405
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,Exento,24-56588769-6,9/08/2019,,SI,Bimestral,23/8/2021,748110,404100,Neuquén,Argentina,SERVIC/OS,9/8/2019,,Ingresos Estado,Ingresos,748110
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,Exento,24-56588769-6,9/08/2019,,SI,Bimestral,11/10/2021,606837,404100,Rio Gallegos,Argentina,MATER/IALES,9/8/2019,,Ingresos Estado,Ingresos,606837
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,Exento,24-56588769-6,9/08/2019,,SI,Bimestral,27/12/2021,732998,404100,Rio Gallegos,Argentina,MATER/IALES,9/8/2019,,Ingresos Estado,Ingresos,732998
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,Exento,24-56588769-6,9/08/2019,,SI,Bimestral,8/2/2022,433172,404100,San Rafael,Argentina,SERVIC/OS,9/8/2019,,Ingresos Estado,Ingresos,433172
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,Exento,24-56588769-6,9/08/2019,,SI,Bimestral,16/4/2022,65198,404100,San Rafael,Argentina,SERVIC/OS,9/8/2019,,Ingresos Estado,Ingresos,65198
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,Exento,24-56588769-6,9/08/2019,,SI,Bimestral,21/6/2022,505685,404100,Buenos Aires,Argentina,Tecnología,9/8/2019,,Ingresos Estado,Ingresos,505685
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,Exento,24-56588769-6,9/08/2019,,SI,Bimestral,24/8/2022,547634,404100,Buenos Aires,Argentina,Tecnología,9/8/2019,,Ingresos Estado,Ingresos,547634
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,Exento,24-56588769-6,9/08/2019,,SI,Bimestral,13/10/2022,662880,404100,Buenos Aires,Argentina,Tecnología,9/8/2019,,Ingresos Estado,Ingresos,662880
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,Exento,24-56588769-6,9/08/2019,,SI,Bimestral,29/12/2022,257499,404100,Buenos Aires,Argentina,Tecnología,9/8/2019,,Ingresos Estado,Ingresos,257499
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,Exento,24-56588769-6,9/08/2019,,SI,Bimestral,6/2/2023,567511,404100,Buenos Aires,Argentina,Tecnología,9/8/2019,,Ingresos Estado,Ingresos,567511
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,Exento,24-56588769-6,9/08/2019,,SI,Bimestral,17/4/2023,78589,404100,Buenos Aires,Argentina,Tecnología,9/8/2019,,Ingresos Estado,Ingresos,78589
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,Exento,24-56588769-6,9/08/2019,,SI,Bimestral,20/6/2023,778799,404100,Buenos Aires,Argentina,Tecnología,9/8/2019,,Ingresos Estado,Ingresos,778799
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,Exento,24-56588769-6,9/08/2019,,SI,Bimestral,26/8/2023,402281,404100,Bahía Blanca,Argentina,Consultoría,9/8/2019,,Ingresos Estado,Ingresos,402281
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,Exento,24-56588769-6,9/08/2019,,SI,Bimestral,12/10/2023,368134,404100,Bahía Blanca,Argentina,Consultoría,9/8/2019,,Ingresos Estado,Ingresos,368134
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,Exento,24-56588769-6,9/08/2019,,SI,Bimestral,28/12/2023,238802,404100,Bahía Blanca,Argentina,Consultoría,9/8/2019,,Ingresos Estado,Ingresos,238802
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,Exento,24-56588769-6,9/08/2019,,SI,Bimestral,9/2/2024,739084,404100,Bahía Blanca,Argentina,Consultoría,9/8/2019,,Ingresos Estado,Ingresos,739084
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,Exento,24-56588769-6,9/08/2019,,SI,Bimestral,18/4/2024,578868,404100,Bahía Blanca,Argentina,Consultoría,9/8/2019,,Ingresos Estado,Ingresos,578868
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,Exento,24-56588769-6,9/08/2019,,SI,Bimestral,22/6/2024,481653,404100,Bahía Blanca,Argentina,Consultoría,9/8/2019,,Ingresos Estado,Ingresos,481653
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,Exento,24-56588769-6,9/08/2019,,SI,Bimestral,30/8/2024,676243,404100,Bahía Blanca,Argentina,Consultoría,9/8/2019,,Ingresos Estado,Ingresos,676243
D00110,Apoyo Logistico S.A.,Empresa,Contacto GH,-,apoyologisticosa@mail.com,(595) 5030-0105,Observación 175,SA,Responsable Inscripto,29-01265476-14,2/05/2020,01/07/2024,NO,Trimestral,2/5/2020,101418,403103,Buenos Aires,Argentina,Energía Renovable,2/5/2020,1/7/2024,Ingresos Bonos Contribución,Ingresos,101418
D00110,Apoyo Logistico S.A.,Empresa,Contacto GH,-,apoyologisticosa@mail.com,(595) 5030-0105,Observación 175,SA,Responsable Inscripto,29-01265476-14,2/05/2020,01/07/2024,NO,Trimestral,3/8/2020,153871,403103,Buenos Aires,Argentina,Energía Renovable,2/5/2020,1/7/2024,Ingresos Bonos Contribución,Ingresos,153871
D00110,Apoyo Logistico S.A.,Empresa,Contacto GH,-,apoyologisticosa@mail.com,(595) 5030-0105,Observación 175,SA,Responsable Inscripto,29-01265476-14,2/05/2020,01/07/2024,NO,Trimestral,5/11/2020,141673,403103,Buenos Aires,Argentina,Energía Renovable,2/5/2020,1/7/2024,Ingresos Bonos Contribución,Ingresos,141673
D00110,Apoyo Logistico S.A.,Empresa,Contacto GH,-,apoyologisticosa@mail.com,(595) 5030-0105,Observación 175,SA,Responsable Inscripto,29-01265476-14,2/05/2020,01/07/2024,NO,Trimestral,7/2/2021,130672,403103,Buenos Aires,Argentina,Energía Renovable,2/5/2020,1/7/2024,Ingresos Bonos Contribución,Ingresos,130672
D00110,Apoyo Logistico S.A.,Empresa,Contacto GH,-,apoyologisticosa@mail.com,(595) 5030-0105,Observación 175,SA,Responsable Inscripto,29-01265476-14,2/05/2020,01/07/2024,NO,Trimestral,4/5/2021,195011,403103,Buenos Aires,Argentina,Energía Renovable,2/5/2020,1/7/2024,Ingresos Bonos Contribución,Ingresos,195011
D00110,Apoyo Logistico S.A.,Empresa,Contacto GH,-,apoyologisticosa@mail.com,(595) 5030-0105,Observación 175,SA,Responsable Inscripto,29-01265476-14,2/05/2020,01/07/2024,NO,Trimestral,6/8/2021,199470,403103,Buenos Aires,Argentina,Energía Renovable,2/5/2020,1/7/2024,Ingresos Bonos Contribución,Ingresos,199470
D00110,Apoyo Logistico S.A.,Empresa,Contacto GH,-,apoyologisticosa@mail.com,(595) 5030-0105,Observación 175,SA,Responsable Inscripto,29-01265476-14,2/05/2020,01/07/2024,NO,Trimestral,3/11/2021,196540,403103,Buenos Aires,Argentina,Energía Renovable,2/5/2020,1/7/2024,Ingresos Bonos Contribución,Ingresos,196540
D00110,Apoyo Logistico S.A.,Empresa,Contacto GH,-,apoyologisticosa@mail.com,(595) 5030-0105,Observación 175,SA,Responsable Inscripto,29-01265476-14,2/05/2020,01/07/2024,NO,Trimestral,9/2/2022,167308,403103,Buenos Aires,Argentina,Transporte,2/5/2020,1/7/2024,Ingresos Bonos Contribución,Ingresos,167308
D00110,Apoyo Logistico S.A.,Empresa,Contacto GH,-,apoyologisticosa@mail.com,(595) 5030-0105,Observación 175,SA,Responsable Inscripto,29-01265476-14,2/05/2020,01/07/2024,NO,Trimestral,5/5/2022,194895,403103,Buenos Aires,Argentina,Transporte,2/5/2020,1/7/2024,Ingresos Bonos Contribución,Ingresos,194895
D00110,Apoyo Logistico S.A.,Empresa,Contacto GH,-,apoyologisticosa@mail.com,(595) 5030-0105,Observación 175,SA,Responsable Inscripto,29-01265476-14,2/05/2020,01/07/2024,NO,Trimestral,7/8/2022,157365,403103,Buenos Aires,Argentina,Transporte,2/5/2020,1/7/2024,Ingresos Bonos Contribución,Ingresos,157365
D00110,Apoyo Logistico S.A.,Empresa,Contacto GH,-,apoyologisticosa@mail.com,(595) 5030-0105,Observación 175,SA,Responsable Inscripto,29-01265476-14,2/05/2020,01/07/2024,NO,Trimestral,4/11/2022,156809,403103,Buenos Aires,Argentina,Transporte,2/5/2020,1/7/2024,Ingresos Bonos Contribución,Ingresos,156809
D00110,Apoyo Logistico S.A.,Empresa,Contacto GH,-,apoyologisticosa@mail.com,(595) 5030-0105,Observación 175,SA,Responsable Inscripto,29-01265476-14,2/05/2020,01/07/2024,NO,Trimestral,6/2/2023,168805,403103,Santiago del Estero,Argentina,Construcción,2/5/2020,1/7/2024,Ingresos Bonos Contribución,Ingresos,168805
D00110,Apoyo Logistico S.A.,Empresa,Contacto GH,-,apoyologisticosa@mail.com,(595) 5030-0105,Observación 175,SA,Responsable Inscripto,29-01265476-14,2/05/2020,01/07/2024,NO,Trimestral,3/5/2023,175721,403103,Santiago del Estero,Argentina,Construcción,2/5/2020,1/7/2024,Ingresos Bonos Contribución,Ingresos,175721
D00110,Apoyo Logistico S.A.,Empresa,Contacto GH,-,apoyologisticosa@mail.com,(595) 5030-0105,Observación 175,SA,Responsable Inscripto,29-01265476-14,2/05/2020,01/07/2024,NO,Trimestral,5/8/2023,129491,403103,Santiago del Estero,Argentina,Construcción,2/5/2020,1/7/2024,Ingresos Bonos Contribución,Ingresos,129491
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,2/12/2019,766487,403103,Santiago del Estero,Argentina,Construcción,2/12/2019,,Ingresos Bonos Contribución,Ingresos,766487
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,3/1/2020,356286,403103,Río Cuarto,Argentina,Agroindustria,2/12/2019,,Ingresos Bonos Contribución,Ingresos,356286
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,5/2/2020,72321,403103,Río Cuarto,Argentina,Agroindustria,2/12/2019,,Ingresos Bonos Contribución,Ingresos,72321
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,3/3/2020,512660,403103,Río Cuarto,Argentina,Agroindustria,2/12/2019,,Ingresos Bonos Contribución,Ingresos,512660
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,4/4/2020,235999,403103,Río Cuarto,Argentina,Agroindustria,2/12/2019,,Ingresos Bonos Contribución,Ingresos,235999
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,6/5/2020,188904,403103,San Fernando del Valle de Catamarca,Argentina,Tecnología,2/12/2019,,Ingresos Bonos Contribución,Ingresos,188904
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,3/6/2020,183842,403103,San Fernando del Valle de Catamarca,Argentina,Tecnología,2/12/2019,,Ingresos Bonos Contribución,Ingresos,183842
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,5/7/2020,70469,403103,San Fernando del Valle de Catamarca,Argentina,Tecnología,2/12/2019,,Ingresos Bonos Contribución,Ingresos,70469
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,4/8/2020,207544,403103,San Fernando del Valle de Catamarca,Argentina,Tecnología,2/12/2019,,Ingresos Bonos Contribución,Ingresos,207544
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,3/9/2020,483595,403103,Villa María,Argentina,Energía Renovable,2/12/2019,,Ingresos Bonos Contribución,Ingresos,483595
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,5/10/2020,226668,403103,Villa María,Argentina,Energía Renovable,2/12/2019,,Ingresos Bonos Contribución,Ingresos,226668
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,4/11/2020,285886,403103,Villa María,Argentina,Energía Renovable,2/12/2019,,Ingresos Bonos Contribución,Ingresos,285886
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,2/12/2020,321539,403103,Villa María,Argentina,Energía Renovable,2/12/2019,,Ingresos Bonos Contribución,Ingresos,321539
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,3/1/2021,345181,403103,San Luis,Argentina,Transporte,2/12/2019,,Ingresos Bonos Contribución,Ingresos,345181
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,5/2/2021,250534,403103,San Luis,Argentina,Transporte,2/12/2019,,Ingresos Bonos Contribución,Ingresos,250534
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,4/3/2021,333984,403103,San Luis,Argentina,Transporte,2/12/2019,,Ingresos Bonos Contribución,Ingresos,333984
