CodProv,Nombre,Cuit,Tipo,CondIVA,obs,contacto,email,tel,categoria,importe,fecha,Ncuenta,ciudad,pais,DetalleEgreso,TipoCta,importeResultados
P00013,Repuestos Omega,30-45678901-2,SERVICIOS,MONOTRIBUTISTA,, Sergio Castro,sergio.castro@correo.zom,3456-7890,S.A.,168452,1/2/2024,503100,,,Alimentación,Gastos,-168452
P00012,Proveedor Ltda.,30-32165487-0,SERVICIOS,RESPONSABLE INSCR/ITO,,Natalia Gómez,natalia.gomez@empresa.com,2345-6789,S.R.L.,128252,3/6/2024,501400,,,Honorarios Asesoría General,Gastos,-128252
P00010,Soluciones Gama,30-98765432-1,SERVICIOS,RESPONSABLE INSCR/ITO,,Javier Martínez,javier.martinez@empresa.com,0123-4567,S.R.L.,242014,2/5/2024,514100,,,Institucionales varios,Gastos,-242014
P00009,Fernando Gómez,30-12345679-8,MATERIALES,RESPONSAB/LE INSCRIPTO,, Fernando Gómez,fernando.gomez@correo.zom,9012-3456,S.A.,155351,6/3/2024,509100,,,Servicios Soporte,Gastos,-155351
P00008,Compañía Beta,30-74859632-7,AGENTE IMPOSITIVO,MONOTRIBUTISTA,,Laura Martínez,laura.martinez@empresa.zom,8901-2345,S.R.L.,283772,21/1/2024,506100,,,Insumos Pedagógicos,Gastos,-283772
P00100,Gabriela Morales,30-98765437-1,MATERIALES,MONOTRIBUTISTA,,Gabriela Morales,gabriela.morales@empresa.zom,0123-4567,S.R.L.,213343,7/1/2024,503100,,,Alimentación,Gastos,-213343
P00099,Servicios Repuestos,30-45678910-0,SERVICIOS,RESPONSABLE INSCR/ITO,,Servicios Repuestos,servicios.repuestos@correo.com,9012-3456,S.A.,50432,3/6/2024,501400,,,Honorarios Asesoría General,Gastos,-50432
P00098,Consultora Alpha,30-32165492-9,MATERIALES,MONOTRIBUTISTA,,Consultora Alpha,consultora.alpha@correo.zom,8901-2345,S.R.L.,174377,25/2/2024,516000,,,Gastos varios,Gastos,-174377
P00097,Proveedora Consultora,30-19283755-8,SERVICIOS,RESPONSABLE INSCR/ITO,,Proveedora Consultora,proveedora.consultora@empresa.zom,7890-1234,S.A.A,124891,30/6/2024,514100,,,Institucionales varios,Gastos,-124891
P00096,Mariana Fernández,30-86430987-7,MATERIALES,MONOTRIBUTISTA,,Mariana Fernández,mariana.fernandez@correo.com,6789-0123,S.R.L.,204006,11/5/2024,509100,,,Servicios Soporte,Gastos,-204006
P00095,Servicios Consultores,30-97531256-6,SERVICIOS,RESPONSABLE INSCR/ITO,,Servicios Consultores,servicios.consultores@correo.com,5678-9012,S.A.,80841,28/6/2024,506100,,,Insumos Pedagógicos,Gastos,-80841
P00094,Gabriela Martínez,30-24681366-5,AGENTE IMPOSITIVO,monotribustista,,Gabriela Martínez,gabriela.martinez@empresa.zom,4567-8901,S.R.L.,37732,21/3/2024,503100,,,Alimentación,Gastos,-37732
P00093,Servicios Proveedores,30-13579253-4,SERVICIOS,RESPONSABLE INSCR/ITO,,Servicios Proveedores,servicios.proveedores@correo.zom,3456-7890,S.A.,135868,9/1/2024,501400,,,Honorarios Asesoría General,Gastos,-135868
P00092,Consultora Zeta,30-86430986-3,SERVICIOS,MONOTRIBUTISTA,,Consultora Zeta,consultora.zeta@empresa.zom,2345-6789,S.R.L.,204823,22/2/2024,516000,,,Gastos varios,Gastos,-204823
P00091,Pedro Morales,30-97531255-2,AGENTE IMPOSITIVO,RESPONSABLE INSCR/ITO,,Pedro Morales,pedro.morales@correo.zom,1234-5678,S.A.,209036,29/6/2024,514100,,,Institucionales varios,Gastos,-209036
P00090,Servicios Consultora,,MATERIALES,MONOTRIBUTISTA,,Servicios Consultora,servicios.consultora@empresa.zom,0123-4567,S.R.L.,140396,3/3/2024,509100,,,Servicios Soporte,Gastos,-140396
P00089,Mariana Morales,30-13579252-0,SERVICIOS,RESPONSABLE INSCR/ITO,,Mariana Morales,mariana.morales@correo.com,9012-3456,S.A.,160810,25/1/2024,506100,,,Insumos Pedagógicos,Gastos,-160810
P00088,Repuestos & Co.,,AGENTE IMPOSITIVO,MONOTRIBUTISTA,,Repuestos & Co.,repuestos.co@correo.zom,8901-2345,S.R.L.,161283,17/5/2024,503100,,,Alimentación,Gastos,-161283
P00087,Consultora Zeta SRL,30-97531254-8,SERVICIOS,RESPONSABLE INSCR/ITO,,Consultora Zeta,consultora.zeta@correo.zom,7890-1234,S.R.L.,127588,6/3/2024,501400,,,Honorarios Asesoría General,Gastos,-127588
P00086, Ana Gómez,30-45678909-7,SERVICIOS,MONOTRIBUTISTA,,Ana Gómez,ana.gomez@empresa.zom,6789-0123,S.R.L.,95580,14/6/2024,516000,,,Gastos varios,Gastos,-95580
P00085,Estudio Consultores,30-32165491-6,MATERIALES,RESPONSABLE INSCR/ITO,,Estudio Consultores,estudio.consultores@correo.com,5678-9012,S.A.A,134052,9/2/2024,514100,,,Institucionales varios,Gastos,-134052
P00084,Fernando Pérez,30-19283754-5,SERVICIOS,MONOTRIBUTISTA,,Fernando Pérez,fernando.perez@correo.zom,4567-8901,S.R.L.,219093,5/1/2024,509100,,,Servicios Soporte,Gastos,-219093
P00083,Proveedora Gamma,30-86430984-4,MATERIALES,RESPONSABLE INSCR/ITO,,Proveedora Gamma,proveedora.gamma@empresa.zom,3456-7890,S.A.,73957,16/2/2024,506100,,,Insumos Pedagógicos,Gastos,-73957
P00082,Gabriela Torres,30-97531253-3,SERVICIOS,MONOTRIBUTISTA,,Gabriela Torres,gabriela.torres@correo.com,2345-6789,S.R.L.,39175,15/2/2024,503100,,,Alimentación,Gastos,-39175
P00081,Estudio Jurídico Zeta,30-24681364-2,SERVICIOS,RESPONSABLE INSCR/ITO,,Estudio Jurídico,estudio.zeta@correo.zom,1234-5678,S.A.,88494,11/2/2024,501400,,,Honorarios Asesoría General,Gastos,-88494
P00080,Consultora Beta SRL,30-13579251-1,SERVICIOS,MONOTRIBUTISTA,,Consultora Beta,consultora.beta@correo.zom,0123-4567,S.R.L.,228756,16/2/2024,516000,,,Gastos varios,Gastos,-228756
P00080,Consultora Beta SRL,30-13579251-1,SERVICIOS,monotribustista,,Consultora Beta,consultora.beta@correo.zom,0123-4567,S.R.L.,202092,9/6/2024,514100,,,Institucionales varios,Gastos,-202092
P00079,Ana Morales,30-86430983-0,AGENTE IMPOSITIVO,RESPONSABLE INSCR/ITO,,Ana Morales,ana.morales@correo.zom,9012-3456,S.A.A,155264,30/5/2024,509100,,,Servicios Soporte,Gastos,-155264
P00078,Servicios Gamma S.A.,30-97531252-9,MATERIALES,MONOTRIBUTISTA,,Servicios Gamma,servicios.gamma@correo.zom,8901-2345,S.R.L.,210166,15/6/2024,506100,,,Insumos Pedagógicos,Gastos,-210166
P00077,Javier Rodríguez,30-45678908-8,SERVICIOS,RESPONSABLE INSCR/ITO,,Javier Rodríguez,javier.rodriguez@correo.com,7890-1234,S.A.,135738,20/4/2024,503100,,,Alimentación,Gastos,-135738
P00076,Repuestos Beta S.A.,30-32165490-7,SERVICIOS,MONOTRIBUTISTA,,Repuestos Beta,repuestos.beta@empresa.zom,6789-0123,S.R.L.,112002,18/4/2024,501400,,,Honorarios Asesoría General,Gastos,-112002
P00075,Servicios Alpha S.A.,30-19283753-6,SERVICIOS,RESPONSABLE INSCR/ITO,,Servicios Alpha,servicios.alpha@correo.zom,5678-9012,S.A.,215609,30/6/2024,516000,,,Gastos varios,Gastos,-215609
P00074,Proveedora SRL,30-86430982-5,AGENTE IMPOSITIVO,MONOTRIBUTISTA,,Proveedora SRL,proveedora.srl@correo.zom,4567-8901,S.R.L.,74744,10/5/2024,514100,,,Institucionales varios,Gastos,-74744
P00073,Andrés García,30-97531251-4,MATERIALES,RESPONSABLE INSCR/ITO,,Andrés García,andres.garcia@correo.zom,3456-7890,S.A.,75070,18/3/2024,509100,,,Servicios Soporte,Gastos,-75070
P00001,Proveedora S.A.,30-12345678-9,SERVICIOS,RESPONSABLE INSCR/ITO,-,Juan Pérez,juan.perez@empresa.com,1234-5678,S.A.,171488,18/3/2024,501400,Buenos Aires,Argentina,Honorarios Asesoría General,Gastos,-171488
P00002,Pedro González,30-87654321-0,SERVICIOS,MONOTRIBUTISTA,-,Pedro González,pedro.gonzalez@correo.zom,2345-6789,S.R.L.,288255,8/2/2024,503100,Cordoba,Argentina,Alimentación,Gastos,-288255
P00003,Empresa XYZ,30-13579246-3,MATERIALES,RESPONSABLE INSCR/ITO,-,María López,maria.lopez@empresa.com,3456-7890,S.A.,195975,18/1/2024,506100,Rosario,Argentina,Insumos Pedagógicos,Gastos,-195975
P00004,Servicios AB,30-24681357-2,AGENTE IMPOSITIVO,RESPONSAB/LE INSCRIPTO,-,Laura Ruiz,laura.ruiz@correo.zom,AR4567-8901,S.R.L.,158607,9/3/2024,509100,Mendoza,Argentina,Servicios Soporte,Gastos,-158607
P00005, Carlos Méndez,30-12345678-9,SERVICIOS,MONOTRIBUTISTA,-, Carlos Méndez,carlos.mendez@correo.com,5678-9012,S.A.,238101,28/3/2024,516000,Buenos Aires,Argentina,Gastos varios,Gastos,-238101
P00005, Carlos Méndez,30-12345678-9,SERVICIOS,MONOTRIBUTISTA,-,Carlos Méndez,carlos.mendez@correo.com,5678-9012,S.A.,288617,14/4/2024,516000,Buenos Aires,Argentina,Gastos varios,Gastos,-288617
P00006,Grupo Alfa,30-97531246-1,SERVICIOS,RESPONSAB/LE INSCRIPTO,-,Alberto Fernández,alberto.fernandez@empresa.zom,6789-0123,S.R.L.,251833,9/1/2024,501400,San Miguel de Tucumán,Argentina,Honorarios Asesoría General,Gastos,-251833
P00007,Ana Sánchez,30-19283746-4,SERVICIOS,RESPONSABLE INSCR/ITO,-,Ana Sánchez,ana.sanchez@correo.com,7890-1234,S.A.,235688,6/5/2024,503100,Mar del Plata,Argentina,Alimentación,Gastos,-235688
P00008,Compañía Beta,30-74859632-7,AGENTE IMPOSITIVO,MONOTRIBUTISTA,-,Laura Martínez,laura.martinez@empresa.zom,8901-2345,S.R.L.,110198,12/6/2024,506100,La Plata,Argentina,Insumos Pedagógicos,Gastos,-110198
P00008,Compañía Beta,30-74859632-7,AGENTE IMPOSITIVO,MONOTRIBUTISTA,-,Laura Martínez,laura.martinez@empresa.zom,8901-2345,S.R.L.,269252,21/1/2024,506100,La Plata,Argentina,Insumos Pedagógicos,Gastos,-269252
P00009,Fernando Gómez,30-12345679-8,MATERIALES,RESPONSAB/LE INSCRIPTO,-, Fernando Gómez,fernando.gomez@correo.zom,9012-3456,S.A.,12373,20/1/2024,509100,Mendoza,Argentina,Servicios Soporte,Gastos,-12373
P00009,Fernando Gómez,30-12345679-8,MATERIALES,RESPONSAB/LE INSCRIPTO,-, Fernando Gómez,fernando.gomez@correo.zom,9012-3456,S.A.,151274,6/3/2024,509100,Mendoza,Argentina,Servicios Soporte,Gastos,-151274
P00010,Soluciones Gama,30-98765432-1,SERVICIOS,RESPONSABLE INSCR/ITO,-,Javier Martínez,javier.martinez@empresa.com,0123-4567,S.R.L.,101610,28/1/2024,514100,Mar del Plata,Argentina,Institucionales varios,Gastos,-101610
P00010,Soluciones Gama,30-98765432-1,SERVICIOS,RESPONSABLE INSCR/ITO,-,Javier Martínez,javier.martinez@empresa.com,0123-4567,S.R.L.,273713,2/5/2024,514100,Mar del Plata,Argentina,Institucionales varios,Gastos,-273713
P00011,Javier López,30-65432198-7,AGENTE IMPOSITIVO,MONOTRIBUTISTA,-,Javier López,javier.lopez@correo.zom,1234-5678,S.A.,291963,4/6/2024,516000,Mar del Plata,Argentina,Gastos varios,Gastos,-291963
P00012,Proveedor Ltda.,30-32165487-0,SERVICIOS,RESPONSABLE INSCR/ITO,-,Natalia Gómez,natalia.gomez@empresa.com,2345-6789,S.R.L.,224379,9/4/2024,501400,Salta,Argentina,Honorarios Asesoría General,Gastos,-224379
P00012,Proveedor Ltda.,30-32165487-0,SERVICIOS,RESPONSABLE INSCR/ITO,-,Natalia Gómez,natalia.gomez@empresa.com,2345-6789,S.R.L.,153447,3/6/2024,501400,Salta,Argentina,Honorarios Asesoría General,Gastos,-153447
P00013,Repuestos Omega,30-45678901-2,SERVICIOS,MONOTRIBUTISTA,-, Sergio Castro,sergio.castro@correo.zom,3456-7890,S.A.,79543,14/4/2024,503100,Santa Fe,Argentina,Alimentación,Gastos,-79543
P00013,Repuestos Omega,30-45678901-2,SERVICIOS,MONOTRIBUTISTA,-, Sergio Castro,sergio.castro@correo.zom,3456-7890,S.A.,41665,1/2/2024,503100,Santa Fe,Argentina,Alimentación,Gastos,-41665
P00014,Estudio Jurídico Alfa,30135792487,MATERIALES,RESPONSABLE INSCR/ITO,-,María Hernández,maria.hernandez@correo.com,4567-8901,S.R.L.,58494,15/1/2024,506100,San Juan,Argentina,Insumos Pedagógicos,Gastos,-58494
P00014,Estudio Jurídico Alfa,30135792487,MATERIALES,RESPONSABLE INSCR/ITO,-,María Hernández,maria.hernandez@correo.com,4567-8901,S.R.L.,218705,19/6/2024,506100,San Juan,Argentina,Insumos Pedagógicos,Gastos,-218705
P00015,Rosa Pérez,30-24681358-6,AGENTE IMPOSITIVO,RESPONSAB/LE INSCRIPTO,-,Rosa Pérez,rosa.perez@correo.zom,5678-9012,S.A.,35574,24/5/2024,509100,Buenos Aires,Argentina,Servicios Soporte,Gastos,-35574
P00015,Rosa Pérez,30-24681358-6,AGENTE IMPOSITIVO,RESPONSAB/LE INSCRIPTO,-,Rosa Pérez,rosa.perez@correo.zom,5678-9012,S.A.,26434,19/5/2024,509100,Buenos Aires,Argentina,Servicios Soporte,Gastos,-26434
P00016,Marketing Global,30-97531247-8,SERVICIOS,RESPONSABLE INSCR/ITO,-,Gabriela Gómez,gabriela.gomez@empresa.com,AR6789-0123,S.R.L.,295412,9/4/2024,514100,Neuquén,Argentina,Institucionales varios,Gastos,-295412
P00016,Marketing Global,30-97531247-8,SERVICIOS,RESPONSABLE INSCR/ITO,-,Gabriela Gómez,gabriela.gomez@empresa.com,AR6789-0123,S.R.L.,128265,10/4/2024,514100,Neuquén,Argentina,Institucionales varios,Gastos,-128265
P00017,Julio Fernández,30-86430976-9,MATERIALES,MONOTRIBUTISTA,-,Julio Fernández,julio.fernandez@correo.zom,7890-1234,S.A.,136358,1/5/2024,516000,Rio Gallegos,Argentina,Gastos varios,Gastos,-136358
P00017,Julio Fernández,30-86430976-9,MATERIALES,MONOTRIBUTISTA,-,Julio Fernández,julio.fernandez@correo.zom,7890-1234,S.A.,288537,5/3/2024,516000,Rio Gallegos,Argentina,Gastos varios,Gastos,-288537
P00018,Consultora Zeta,30-19283747-0,SERVICIOS,RESPONSABLE INSCR/ITO,-, Laura Sánchez,laura.sanchez@empresa.zom,8901-2345,S.R.L.,122441,3/1/2024,501400,San Rafael,Argentina,Honorarios Asesoría General,Gastos,-122441
P00018,Consultora Zeta,30-19283747-0,SERVICIOS,RESPONSABLE INSCR/ITO,-, Laura Sánchez,laura.sanchez@empresa.zom,8901-2345,S.R.L.,133962,4/2/2024,501400,San Rafael,Argentina,Honorarios Asesoría General,Gastos,-133962
P00101,Luis Martínez,20-12345678-9,Tecnología,Monotributista,-,Luis Martínez,luis.martinez@empresa.xyz,0111-2345,S.R.L.,109470,1/1/2019,509100,Buenos Aires,Argentina,Servicios Soporte,Gastos,-109470
P00101,Luis Martínez,20-12345678-9,Tecnología,Monotributista,-,Luis Martínez,luis.martinez@empresa.xyz,0111-2345,S.R.L.,211512,28/3/2019,509100,Buenos Aires,Argentina,Servicios Soporte,Gastos,-211512
P00101,Luis Martínez,20-12345678-9,Tecnología,Monotributista,-,Luis Martínez,luis.martinez@empresa.xyz,0111-2345,S.R.L.,115392,28/5/2019,509100,Buenos Aires,Argentina,Servicios Soporte,Gastos,-115392
P00101,Luis Martínez,20-12345678-9,Tecnología,Monotributista,-,Luis Martínez,luis.martinez@empresa.xyz,0111-2345,S.R.L.,66906,7/1/2021,509100,Buenos Aires,Argentina,Servicios Soporte,Gastos,-66906
P00101,Luis Martínez,20-12345678-9,Tecnología,Monotributista,-,Luis Martínez,luis.martinez@empresa.xyz,0111-2345,S.R.L.,149277,7/10/2020,509100,Buenos Aires,Argentina,Servicios Soporte,Gastos,-149277
P00101,Luis Martínez,20-12345678-9,Tecnología,Monotributista,-,Luis Martínez,luis.martinez@empresa.xyz,0111-2345,S.R.L.,164820,1/1/2023,509100,Buenos Aires,Argentina,Servicios Soporte,Gastos,-164820
P00101,Luis Martínez,20-12345678-9,Tecnología,Monotributista,-,Luis Martínez,luis.martinez@empresa.xyz,0111-2345,S.R.L.,84017,7/10/2023,509100,Buenos Aires,Argentina,Servicios Soporte,Gastos,-84017
P00102,Ana Rodríguez,30-98765432-5,Consultoría,IVA Responsable,-,Ana Rodríguez,ana.rodriguez@empresa.abc,0123-5678,S.A.,12770,3/1/2019,501400,Bahía Blanca,Argentina,Honorarios Asesoría General,Gastos,-12770
P00102,Ana Rodríguez,30-98765432-5,Consultoría,IVA Responsable,-,Ana Rodríguez,ana.rodriguez@empresa.abc,0123-5678,S.A.,279575,1/4/2019,501400,Bahía Blanca,Argentina,Honorarios Asesoría General,Gastos,-279575
P00102,Ana Rodríguez,30-98765432-5,Consultoría,IVA Responsable,-,Ana Rodríguez,ana.rodriguez@empresa.abc,0123-5678,S.A.,229019,1/6/2019,501400,Bahía Blanca,Argentina,Honorarios Asesoría General,Gastos,-229019
P00102,Ana Rodríguez,30-98765432-5,Consultoría,IVA Responsable,-,Ana Rodríguez,ana.rodriguez@empresa.abc,0123-5678,S.A.,277032,10/1/2021,501400,Bahía Blanca,Argentina,Honorarios Asesoría General,Gastos,-277032
P00102,Ana Rodríguez,30-98765432-5,Consultoría,IVA Responsable,-,Ana Rodríguez,ana.rodriguez@empresa.abc,0123-5678,S.A.,170554,10/10/2020,501400,Bahía Blanca,Argentina,Honorarios Asesoría General,Gastos,-170554
P00102,Ana Rodríguez,30-98765432-5,Consultoría,IVA Responsable,-,Ana Rodríguez,ana.rodriguez@empresa.abc,0123-5678,S.A.,109099,3/1/2023,501400,Bahía Blanca,Argentina,Honorarios Asesoría General,Gastos,-109099
P00102,Ana Rodríguez,30-98765432-5,Consultoría,IVA Responsable,-,Ana Rodríguez,ana.rodriguez@empresa.abc,0123-5678,S.A.,120929,10/10/2023,501400,Bahía Blanca,Argentina,Honorarios Asesoría General,Gastos,-120929
P00103,Carlos Fernández,27-23456789-1,Energía Renovable,Monotributista,-,Carlos Fernández,carlos.fernandez@empresa.def,0345-6789,Cooperativa,272036,5/1/2019,501400,Buenos Aires,Argentina,Honorarios Asesoría General,Gastos,-272036
P00103,Carlos Fernández,27-23456789-1,Energía Renovable,Monotributista,-,Carlos Fernández,carlos.fernandez@empresa.def,0345-6789,Cooperativa,211801,4/4/2019,501400,Buenos Aires,Argentina,Honorarios Asesoría General,Gastos,-211801
P00103,Carlos Fernández,27-23456789-1,Energía Renovable,Monotributista,-,Carlos Fernández,carlos.fernandez@empresa.def,0345-6789,Cooperativa,153534,4/6/2019,501400,Buenos Aires,Argentina,Honorarios Asesoría General,Gastos,-153534
P00103,Carlos Fernández,27-23456789-1,Energía Renovable,Monotributista,-,Carlos Fernández,carlos.fernandez@empresa.def,0345-6789,Cooperativa,291211,13/1/2021,501400,Buenos Aires,Argentina,Honorarios Asesoría General,Gastos,-291211
P00103,Carlos Fernández,27-23456789-1,Energía Renovable,Monotributista,-,Carlos Fernández,carlos.fernandez@empresa.def,0345-6789,Cooperativa,25100,13/10/2020,501400,Buenos Aires,Argentina,Honorarios Asesoría General,Gastos,-25100
P00103,Carlos Fernández,27-23456789-1,Energía Renovable,Monotributista,-,Carlos Fernández,carlos.fernandez@empresa.def,0345-6789,Cooperativa,136125,5/1/2023,501400,Buenos Aires,Argentina,Honorarios Asesoría General,Gastos,-136125
P00103,Carlos Fernández,27-23456789-1,Energía Renovable,Monotributista,-,Carlos Fernández,carlos.fernandez@empresa.def,0345-6789,Cooperativa,151245,13/10/2023,501400,Buenos Aires,Argentina,Honorarios Asesoría General,Gastos,-151245
P00104,María González,23-45678901-3,Transporte,Responsable Inscripto,-,María González,maria.gonzalez@empresa.ghi,0678-3456,S.R.L.,10352,7/1/2019,502100,Buenos Aires,Argentina,Servicios Protagonistas,Gastos,-10352
P00104,María González,23-45678901-3,Transporte,Responsable Inscripto,-,María González,maria.gonzalez@empresa.ghi,0678-3456,S.R.L.,199434,7/4/2019,502100,Buenos Aires,Argentina,Servicios Protagonistas,Gastos,-199434
P00104,María González,23-45678901-3,Transporte,Responsable Inscripto,-,María González,maria.gonzalez@empresa.ghi,0678-3456,S.R.L.,288754,16/1/2021,502100,Buenos Aires,Argentina,Servicios Protagonistas,Gastos,-288754
P00104,María González,23-45678901-3,Transporte,Responsable Inscripto,-,María González,maria.gonzalez@empresa.ghi,0678-3456,S.R.L.,241670,7/1/2023,502100,Buenos Aires,Argentina,Servicios Protagonistas,Gastos,-241670
P00105,Pedro López,33-56789012-4,Construcción,Monotributista,-,Pedro López,pedro.lopez@empresa.jkl,0765-4321,Sociedad Anónima,291670,10/1/2019,516000,Santiago del Estero,Argentina,Gastos varios,Gastos,-291670
P00105,Pedro López,33-56789012-4,Construcción,Monotributista,-,Pedro López,pedro.lopez@empresa.jkl,0765-4321,Sociedad Anónima,175139,10/4/2019,516000,Santiago del Estero,Argentina,Gastos varios,Gastos,-175139
P00105,Pedro López,33-56789012-4,Construcción,Monotributista,-,Pedro López,pedro.lopez@empresa.jkl,0765-4321,Sociedad Anónima,140691,19/1/2021,516000,Santiago del Estero,Argentina,Gastos varios,Gastos,-140691
P00105,Pedro López,33-56789012-4,Construcción,Monotributista,-,Pedro López,pedro.lopez@empresa.jkl,0765-4321,Sociedad Anónima,257510,10/1/2023,516000,Santiago del Estero,Argentina,Gastos varios,Gastos,-257510
P00106,Laura Pérez,20-87654321-2,Agroindustria,IVA Responsable,-,Laura Pérez,laura.perez@empresa.mno,0889-7654,S.R.L.,104176,11/2/2019,507100,Río Cuarto,Argentina,Insumos Varios Programas Sociales,Gastos,-104176
P00106,Laura Pérez,20-87654321-2,Agroindustria,IVA Responsable,-,Laura Pérez,laura.perez@empresa.mno,0889-7654,S.R.L.,18742,13/4/2019,507100,Río Cuarto,Argentina,Insumos Varios Programas Sociales,Gastos,-18742
P00106,Laura Pérez,20-87654321-2,Agroindustria,IVA Responsable,-,Laura Pérez,laura.perez@empresa.mno,0889-7654,S.R.L.,29783,22/1/2021,507100,Río Cuarto,Argentina,Insumos Varios Programas Sociales,Gastos,-29783
P00106,Laura Pérez,20-87654321-2,Agroindustria,IVA Responsable,-,Laura Pérez,laura.perez@empresa.mno,0889-7654,S.R.L.,47776,11/2/2023,507100,Río Cuarto,Argentina,Insumos Varios Programas Sociales,Gastos,-47776
P00107,Javier Ramírez,30-65432109-8,Tecnología,Monotributista,-,Javier Ramírez,javier.ramirez@empresa.pqr,0999-1234,S.A.,64042,14/2/2019,509100,San Fernando del Valle de Catamarca,Argentina,Servicios Soporte,Gastos,-64042
P00107,Javier Ramírez,30-65432109-8,Tecnología,Monotributista,-,Javier Ramírez,javier.ramirez@empresa.pqr,0999-1234,S.A.,271022,16/4/2019,509100,San Fernando del Valle de Catamarca,Argentina,Servicios Soporte,Gastos,-271022
P00107,Javier Ramírez,30-65432109-8,Tecnología,Monotributista,-,Javier Ramírez,javier.ramirez@empresa.pqr,0999-1234,S.A.,269442,25/1/2021,509100,San Fernando del Valle de Catamarca,Argentina,Servicios Soporte,Gastos,-269442
P00107,Javier Ramírez,30-65432109-8,Tecnología,Monotributista,-,Javier Ramírez,javier.ramirez@empresa.pqr,0999-1234,S.A.,51622,14/2/2023,509100,San Fernando del Valle de Catamarca,Argentina,Servicios Soporte,Gastos,-51622
P00108,Claudia Sánchez,27-76543210-6,Energía Renovable,Responsable Inscripto,-,Claudia Sánchez,claudia.sanchez@empresa.stu,0777-5678,Cooperativa,131033,17/2/2019,501400,Villa María,Argentina,Honorarios Asesoría General,Gastos,-131033
P00108,Claudia Sánchez,27-76543210-6,Energía Renovable,Responsable Inscripto,-,Claudia Sánchez,claudia.sanchez@empresa.stu,0777-5678,Cooperativa,166866,19/4/2019,501400,Villa María,Argentina,Honorarios Asesoría General,Gastos,-166866
P00108,Claudia Sánchez,27-76543210-6,Energía Renovable,Responsable Inscripto,-,Claudia Sánchez,claudia.sanchez@empresa.stu,0777-5678,Cooperativa,42714,28/1/2021,501400,Villa María,Argentina,Honorarios Asesoría General,Gastos,-42714
P00108,Claudia Sánchez,27-76543210-6,Energía Renovable,Responsable Inscripto,-,Claudia Sánchez,claudia.sanchez@empresa.stu,0777-5678,Cooperativa,130133,17/2/2023,501400,Villa María,Argentina,Honorarios Asesoría General,Gastos,-130133
P00109,Daniel Morales,23-87654320-5,Transporte,Monotributista,-,Daniel Morales,daniel.morales@empresa.vwx,0555-4321,S.R.L.,152895,20/2/2019,502100,San Luis,Argentina,Servicios Protagonistas,Gastos,-152895
P00109,Daniel Morales,23-87654320-5,Transporte,Monotributista,-,Daniel Morales,daniel.morales@empresa.vwx,0555-4321,S.R.L.,230465,22/4/2019,502100,San Luis,Argentina,Servicios Protagonistas,Gastos,-230465
P00109,Daniel Morales,23-87654320-5,Transporte,Monotributista,-,Daniel Morales,daniel.morales@empresa.vwx,0555-4321,S.R.L.,190624,1/2/2021,502100,San Luis,Argentina,Servicios Protagonistas,Gastos,-190624
P00109,Daniel Morales,23-87654320-5,Transporte,Monotributista,-,Daniel Morales,daniel.morales@empresa.vwx,0555-4321,S.R.L.,232698,20/2/2023,502100,San Luis,Argentina,Servicios Protagonistas,Gastos,-232698
P00110,Gabriela Torres,33-76543219-7,Construcción,IVA Responsable,-,Gabriela Torres,gabriela.torres@empresa.yza,0666-2345,Sociedad Anónima,192247,12/1/2019,516000,Chaco,Argentina,Gastos varios,Gastos,-192247
P00110,Gabriela Torres,33-76543219-7,Construcción,IVA Responsable,-,Gabriela Torres,gabriela.torres@empresa.yza,0666-2345,Sociedad Anónima,215535,23/2/2019,516000,Chaco,Argentina,Gastos varios,Gastos,-215535
P00110,Gabriela Torres,33-76543219-7,Construcción,IVA Responsable,-,Gabriela Torres,gabriela.torres@empresa.yza,0666-2345,Sociedad Anónima,53588,25/4/2019,516000,Chaco,Argentina,Gastos varios,Gastos,-53588
P00110,Gabriela Torres,33-76543219-7,Construcción,IVA Responsable,-,Gabriela Torres,gabriela.torres@empresa.yza,0666-2345,Sociedad Anónima,198463,4/2/2021,516000,Chaco,Argentina,Gastos varios,Gastos,-198463
P00110,Gabriela Torres,33-76543219-7,Construcción,IVA Responsable,-,Gabriela Torres,gabriela.torres@empresa.yza,0666-2345,Sociedad Anónima,193408,12/1/2023,516000,Chaco,Argentina,Gastos varios,Gastos,-193408
P00110,Gabriela Torres,33-76543219-7,Construcción,IVA Responsable,-,Gabriela Torres,gabriela.torres@empresa.yza,0666-2345,Sociedad Anónima,175620,23/2/2023,516000,Chaco,Argentina,Gastos varios,Gastos,-175620
P00111,Jorge Herrera,20-87654322-3,Agroindustria,Monotributista,-,Jorge Herrera,jorge.herrera@empresa.bcd,0123-9876,S.R.L.,233493,15/1/2019,507100,Buenos Aires,Argentina,Insumos Varios Programas Sociales,Gastos,-233493
P00111,Jorge Herrera,20-87654322-3,Agroindustria,Monotributista,-,Jorge Herrera,jorge.herrera@empresa.bcd,0123-9876,S.R.L.,172873,26/2/2019,507100,Buenos Aires,Argentina,Insumos Varios Programas Sociales,Gastos,-172873
P00111,Jorge Herrera,20-87654322-3,Agroindustria,Monotributista,-,Jorge Herrera,jorge.herrera@empresa.bcd,0123-9876,S.R.L.,134090,28/4/2019,507100,Buenos Aires,Argentina,Insumos Varios Programas Sociales,Gastos,-134090
